"id_order","brand_accesories"
303286,"OWC - accessories"
303297,"Elgato - accessories"
303297,"Elgato - accessories"
303302,"iFixit - accessories"
303313,"Logitech - accessories"
303314,"Hyper Pearl - accessories"
303316,"SanDisk - accessories"
303316,"Apple - accessories"
303339,"Apple - extended warranty"
303341,"LG - display"
303343,"Wacom - tablet"
303346,"OWC - accessories"
303346,"Samsung - accessories"
303347,"Jawbone - display"
303353,"Wacom - tablet"
303355,"Samsung - display"
303362,"LG - display"
303364,"Crucial - accessories"
303364,"Crucial - accessories"
303366,"Crucial - accessories"
303366,"OWC - accessories"
303376,"Belkin - accessories"
303397,"SanDisk - accessories"
303427,"Replacement - accessories"
303434,"Replacement - accessories"
303434,"Replacement - accessories"
303455,"Belkin - accessories"
303473,"LG - display"
303482,"Macally - accessories"
303486,"Apple - extended warranty"
303507,"Olloclip - accessories"
303521,"Belkin - accessories"
303522,"iFixit - accessories"
303524,"JBL - accessories"
303527,"Jawbone - display"
303542,"Jawbone - display"
303542,"Jawbone - display"
303548,"Otterbox - accessories"
303554,"Replacement - accessories"
303557,"Apple - accessories"
303560,"Apple - accessories"
303565,"QNAP - accessories"
303583,"Philips - accessories"
303588,"Jawbone - display"
303595,"Parrot - accessories"
303596,"SanDisk - accessories"
303599,"OWC - accessories"
303599,"iFixit - accessories"
303599,"Western Digital - accessories"
303614,"Western Digital - accessories"
303621,"Crucial - accessories"
303621,"Macally - accessories"
303624,"Netatmo - other"
303643,"Synology - accessories"
303643,"Seagate - accessories"
303660,"Crucial - accessories"
303663,"Logitech - accessories"
303671,"Toshiba - accessories"
303693,"Blue Microphones - accessories"
303697,"Apple - accessories"
303699,"Seagate - accessories"
303703,"Belkin - accessories"
303703,"TrackR - accessories"
303704,"FCM - accessories"
303704,"Kingston - accessories"
303705,"Wacom - tablet"
303709,"Satechi - accessories"
303713,"Crucial - accessories"
303733,"Thule - accessories"
303738,"Seagate - accessories"
303741,"iFixit - accessories"
303748,"Apple - extended warranty"
303756,"Moxie - accessories"
303756,"Wowewa - accessories"
303774,"Western Digital - accessories"
303775,"Samsung - accessories"
303790,"Pack - accessories"
303790,"Crucial - accessories"
303805,"Blue Microphones - accessories"
303814,"SanDisk - accessories"
303819,"Jawbone - display"
303821,"SanDisk - accessories"
303822,"Satechi - accessories"
303822,"Thule - accessories"
303823,"Seagate - accessories"
303827,"Western Digital - accessories"
303837,"Startech - accessories"
303838,"Elgato - accessories"
303841,"SanDisk - accessories"
303844,"Belkin - accessories"
303851,"Crucial - accessories"
303851,"Pack - accessories"
303851,"Pack - accessories"
303858,"Western Digital - accessories"
303864,"Apple - extended warranty"
303867,"iFixit - accessories"
303878,"ZaggKeys - accessories"
303878,"Apple - accessories"
303885,"Apple - extended warranty"
